Year,Title,Creator,Director,Writer,Producer,Position
1995,Hank Aaron: Chasing the Dream,No,No,No,No,1
1998,Blossoms and Veils,No,Yes,Yes,No,1
1999,Introducing Dorothy Dandridge,No,No,Yes,No,1
2002,Crossroads,No,No,Yes,No,1
2004,The Princess Diaries 2: Royal Engagement,No,No,Yes,No,1
2005,Grey's Anatomy,Yes,No,Yes,Yes,1
2006,Grey's Anatomy,Yes,No,Yes,Yes,1
2007,Private Practice,Yes,No,Yes,Yes,2
2007,Grey's Anatomy,Yes,No,Yes,Yes,1
2008,Private Practice,Yes,No,Yes,Yes,2
2008,Grey's Anatomy,Yes,No,Yes,Yes,1
2009,Inside the Box,No,No,No,Yes,5
2009,Seattle Grace: On Call,Yes,No,No,Yes,4
2009,Seattle Grace: Message of Hope,Yes,No,No,Yes,3
2009,Private Practice,Yes,No,Yes,Yes,2
2009,Grey's Anatomy,Yes,No,Yes,Yes,1
2010,Private Practice,Yes,No,Yes,Yes,2
2010,Grey's Anatomy,Yes,No,Yes,Yes,1
2011,Off the Map,No,No,No,Yes,3
2011,Private Practice,Yes,No,Yes,Yes,2
2011,Grey's Anatomy,Yes,No,Yes,Yes,1
2012,Gilded Lilys,No,No,No,Yes,4
2012,Private Practice,Yes,No,Yes,Yes,2
2012,Scandal,Yes,No,Yes,Yes,3
2012,Grey's Anatomy,Yes,No,Yes,Yes,1
2013,Private Practice,Yes,No,Yes,Yes,2
2013,Scandal,Yes,No,Yes,Yes,3
2013,Grey's Anatomy,Yes,No,Yes,Yes,1
2014,Scandal,Yes,No,Yes,Yes,2
2014,How to Get Away with Murder,No,No,No,Yes,3
2014,Grey's Anatomy,Yes,No,Yes,Yes,1
2015,Scandal,Yes,No,Yes,Yes,2
2015,How to Get Away with Murder,No,No,No,Yes,3
2015,Grey's Anatomy,Yes,No,Yes,Yes,1
2016,The Catch,No,No,No,Yes,4
2016,Scandal,Yes,No,Yes,Yes,2
2016,How to Get Away with Murder,No,No,No,Yes,3
2016,Grey's Anatomy,Yes,No,Yes,Yes,1
2017,The Catch,No,No,No,Yes,4
2017,Still Star-Crossed,No,No,No,Yes,6
2017,For The People,No,No,No,Yes,5
2017,Scandal,Yes,No,Yes,Yes,2
2017,How to Get Away with Murder,No,No,No,Yes,3
2017,Grey's Anatomy,Yes,No,Yes,Yes,1
